Category,Name,Method,URI,Input,Response,Normal Response Code,Error Response Code,Description,Remark,,POST
,Update tag definition,PUT,/v2/metadefs/namespaces/?{namespace}?/tags/?{name}?,,,,400/401/403/405/413/503/404,Renames a specified tag definition.,,,Deactivates a specified image. (Since Image API v2.0.)
,Delete tag definition,DELETE,/v2/metadefs/namespaces/?{namespace}?/tags/?{name}?,,,,400/401/403/405/413/503/404,Deletes a specified tag definition within a namespace.,,,
Metadata definition schemas,Get metadata definition namespace schema,GET,/v2/schemas/metadefs/namespace,,,,400/401/403/405/413/503/404,Gets a JSON schema document that represents a metadata definition namespace entity. (Since API v2.1.),,,
,Get metadata definition namespaces schema,GET,/v2/schemas/metadefs/namespaces,,,,400/401/403/405/413/503/404,Gets a JSON schema document that represents a metadata definition namespaces entity. (Since API v2.1.),,,PUT
,Get metadata definition object schema,GET,/v2/schemas/metadefs/object,,,,400/401/403/405/413/503/404,Gets a JSON schema document that represents a metadata definition object entity. (Since API v2.1.),,,/v2/images/?{image_id}?/file
,Get metadata definition objects schema,GET,/v2/schemas/metadefs/objects,,,,400/401/403/405/413/503/404,Gets a JSON schema document that represents a metadata definition objects entity. (Since API v2.1.),,,Upload binary image data
,Get metadata definition property schema,GET,/v2/schemas/metadefs/property,,,,400/401/403/405/413/503/404,Gets a JSON schema document that represents a metadata definition property entity. (Since API v2.1.),,,
,Get metadata definition properties schema,GET,/v2/schemas/metadefs/properties,,,,400/401/403/405/413/503/404,Gets a JSON schema document that represents a metadata definition properties entity. (Since API v2.1.),,,Uploads binary image data. (Since Image API v2.0.)
,Get metadata definition tag schema,GET,/v2/schemas/metadefs/tag,,,,400/401/403/405/413/503/404,Gets a JSON schema document that represents a metadata definition tag entity. (Since API v2.1.),,,
,Get metadata definition tags schema,GET,/v2/schemas/metadefs/tags,,,,400/401/403/405/413/503/404,Gets a JSON schema document that represents a metadata definition tags entity. (Since API v2.1.),,,
,Get metadata definition namespace resource type association schema,GET,/v2/schemas/metadefs/resource_type,,,,400/401/403/405/413/503/404,Gets a JSON schema document that represents a metadata definition namespace resource type association entity. (Since API v2.1.),,,GET
,Get metadata definition namespace resource type associations schema,GET,/v2/schemas/metadefs/resource_types,,,,400/401/403/405/413/503/404,Gets a JSON schema document that represents a metadata definition namespace resource type associations entity. (Since API v2.1.),,,/v2/images/?{image_id}?/file
,,,,,,,,,,,Download binary image data
,,,,,,,,,,,
,,,,,,,,,,,Downloads binary image data. (Since Image API v2.0.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,PUT
,,,,,,,,,,,/v2/images/?{image_id}?/tags/?{tag}?
,,,,,,,,,,,Add image tag
,,,,,,,,,,,
,,,,,,,,,,,Adds a specified tag to a specified image. (Since Image API v2.0.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,DELETE
,,,,,,,,,,,/v2/images/?{image_id}?/tags/?{tag}?
,,,,,,,,,,,Delete image tag
,,,,,,,,,,,
,,,,,,,,,,,Deletes a specified tag from a specified image. (Since Image API v2.0.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/images/?{image_id}?/members
,,,,,,,,,,,Create image member
,,,,,,,,,,,
,,,,,,,,,,,Adds a specified tenant ID as an image member. (Since Image API v2.1.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/images/?{image_id}?/members
,,,,,,,,,,,List image members
,,,,,,,,,,,
,,,,,,,,,,,Lists the tenants with whom this image has been shared. (Since Image API v2.1.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/images/?{image_id}?/members/?{member_id}?
,,,,,,,,,,,Show image member details
,,,,,,,,,,,
,,,,,,,,,,,Shows image member details.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,DELETE
,,,,,,,,,,,/v2/images/?{image_id}?/members/?{member_id}?
,,,,,,,,,,,Delete image member
,,,,,,,,,,,
,,,,,,,,,,,Deletes a specified tenant ID from the member list of the specified image. (Since Image API v2.1.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,PUT
,,,,,,,,,,,/v2/images/?{image_id}?/members/?{member_id}?
,,,,,,,,,,,Update image member
,,,,,,,,,,,
,,,,,,,,,,,Sets the specified status for the specified member of the specified image. (Since Image API v2.1.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/schemas/images
,,,,,,,,,,,Get images schema
,,,,,,,,,,,
,,,,,,,,,,,Gets a json-schema document that represents an images entity. (Since Images v2.0.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/schemas/image
,,,,,,,,,,,Get image schema
,,,,,,,,,,,
,,,,,,,,,,,Gets a json-schema document that represents an image entity. (Since Images v2.0.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/schemas/members
,,,,,,,,,,,Get image members schema
,,,,,,,,,,,
,,,,,,,,,,,Gets a json-schema document that represents an image members entity. (Since Images v2.1.)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/schemas/member
,,,,,,,,,,,Get image member schema
,,,,,,,,,,,
