Category,Name,Method,URI,Input,Response,Normal Response Code,Error Response Code,Description,Remark,,GET
,Create or replace image metadata,PUT,/v2/?{tenant_id}?/images/?{image_id}?/metadata,"tenant_id
image_id
image_metadata","next (Optional)
previous (Optional)
image_metadata",200,500/400/401/403/405/413/503/404,Creates or replaces metadata for a specified image.,,,
,Update image metadata items,POST,/v2/?{tenant_id}?/images/?{image_id}?/metadata,"tenant_id
image_id
image_metadata","next (Optional)
previous (Optional)
image_metadata",200,500/400/401/403/405/413/503/404,Updates metadata items by key for a specified image.,,,
,Show image metadata item details,GET,/v2/?{tenant_id}?/images/?{image_id}?/metadata/?{key}?,"tenant_id
image_id
image_metadata_key","X-Compute-Request-ID (Optional)
image_metadata",200/203,500/400/401/403/405/413/503/404,Shows details for a metadata item by key for a specified image.,,,GET
,Create or update image metadata item,PUT,/v2/?{tenant_id}?/images/?{image_id}?/metadata/?{key}?,"tenant_id
image_id
image_metadata_key
image_metadata","X-Compute-Request-ID (Optional)
image_metadata",200,500/400/401/403/405/413/503/404,Creates or updates a metadata item by key for a specified image.,,,/v2/?{tenant_id}?/servers/detail
,Delete image metadata item,DELETE,/v2/?{tenant_id}?/images/?{image_id}?/metadata/?{key}?,"tenant_id
image_id
image_metadata_key",,204,500/400/401/403/405/413/503/404,Deletes a metadata item by key for a specified image.,,,List details for servers
,,,,,,,,,,,
,,,,,,,,,,,Lists details for all servers.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?
,,,,,,,,,,,Get server details
,,,,,,,,,,,
,,,,,,,,,,,Gets details for a specified server.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,PUT
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?
,,,,,,,,,,,Update server
,,,,,,,,,,,
,,,,,,,,,,,Updates the editable attributes of the specified server.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,DELETE
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?
,,,,,,,,,,,Delete server
,,,,,,,,,,,
,,,,,,,,,,,Deletes a specified server.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?/metadata
,,,,,,,,,,,Show server metadata
,,,,,,,,,,,
,,,,,,,,,,,Shows metadata for a specified server.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,PUT
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?/metadata
,,,,,,,,,,,Create or replace server metadata items
,,,,,,,,,,,
,,,,,,,,,,,Creates or replaces metadata items for a specified server.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,POST
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?/metadata
,,,,,,,,,,,Update server metadata items
,,,,,,,,,,,
,,,,,,,,,,,Updates metadata items by key for a specified server.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,GET
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?/metadata/?{key}?
,,,,,,,,,,,Show server metadata item details
,,,,,,,,,,,
,,,,,,,,,,,Shows details for a metadata item by key for a specified server.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,PUT
,,,,,,,,,,,/v2/?{tenant_id}?/servers/?{server_id}?/metadata/?{key}?
,,,,,,,,,,,Create or update server metadata item
,,,,,,,,,,,
